Time (UTC),Kind,Message,Detail
"2026-05-25T18:32:34.362Z","project.sub_session_scheduled","Project sub-session scheduled: M101 Project Session 3 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-3).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-3"",""nightIndex"":3,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""plannedStartIso"":""2026-05-26T05:48:27.830Z"",""plannedEndIso"":""2026-05-26T07:03:27.830Z"",""filterPlansTonight"":[{""filterName"":""H"",""exposureSeconds"":600,""count"":5}],""reasons"":[""Weather-permitted segments overlapping this run: May 26, 2:00 AM – May 26, 3:00 AM ET."",""Frames in this session: H 5×600s (5 exposure(s) total)."",""Start at May 26, 1:48 AM ET: target at 56.3° (≥30° required)."",""Not placed at May 25, 11:18 PM ET: waiting for target altitude, ≥80% weather-permitted coverage, or a long enough free interval."",""Fewer frames than the free window could fit: placement requires ≥80% weather-permitted and 100% target-altitude (≥30°) coverage for the full run (may span multiple clear spells)."",""End at May 26, 3:03 AM ET: 0.83 h exposure + 25 min session overhead (1.25 h block)."",""Coverage checks: weather-permitted 80% (≥80% required), target ≥30° 100% (100% required).""]}"
"2026-05-25T18:30:20.593Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T18:30:13.318Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T18:30:10.138Z","project.sub_session_scheduled","Project sub-session scheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""plannedStartIso"":""2026-05-26T01:23:27.830Z"",""plannedEndIso"":""2026-05-26T03:18:27.830Z"",""filterPlansTonight"":[{""filterName"":""H"",""exposureSeconds"":600,""count"":9}],""reasons"":[""Weather-permitted segments overlapping this run: May 25, 9:23 PM – May 25, 10:00 PM ET; May 25, 10:00 PM – May 25, 11:00 PM ET."",""Frames in this session: H 9×600s (9 exposure(s) total)."",""Start at May 25, 9:23 PM ET: target at 72.7° (≥30° required)."",""Fewer frames than the free window could fit: placement requires ≥80% weather-permitted and 100% target-altitude (≥30°) coverage for the full run (may span multiple clear spells)."",""End at May 25, 11:18 PM ET: 1.50 h exposure + 25 min session overhead (1.92 h block)."",""Coverage checks: weather-permitted 84% (≥80% required), target ≥30° 100% (100% required).""]}"
"2026-05-25T18:30:06.004Z","queue.schedule_decision","Session a9a609e6-0e7c-41e7-a1b0-857ae61105d7 moved from scheduled back to pending schedule state.","{""id"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""target"":""M101 Project"",""previousStatus"":""scheduled"",""nextStatus"":""unscheduled"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Weather forecast unavailable"",""reasons"":[""Weather forecast unavailable""]}"
"2026-05-25T18:30:05.939Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Weather forecast unavailable""}"
"2026-05-25T18:29:55.929Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T18:29:46.104Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T18:29:35.914Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T18:29:25.816Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T18:29:15.857Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T18:29:04.924Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
"2026-05-25T17:47:44.616Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Replaced by updated tonight sub-session plan.""}"
