"Star Name","RA (J2000.0)","Dec (J2000.0)","Constellation","Var. Type","Min Mag","Max Mag","Period (d)","Obs. Cadence (d)","Obs. Section","Filter/Mode","Last observed","High Priority","Notes"
"AR And","01h 45m 03s","+37d 56m 33s","And","UGSS","17.6 V","11.0 V","0.163","5.0","CV","All","Black: Near Solar Conjunction","",""
"DX And","23h 29m 46s","+43d 45m 04s","And","UGSS","15.5 V","11.0 V","0.440502","5.0","CV","All","Red: Last Observation February 24, 2026 6:00 PM UTC (2 months ago)","",""
"EG And","00h 44m 37s","+40d 40m 45s","And","ZAND+E","7.8 V","6.97 V","482.57","10.0","CV","All","Red: Last Observation March 21, 2026 1:25 AM UTC (1 month ago)","",""
"FN And","01h 11m 57s","+35d 17m 24s","And","UGSS","19.3 V","12.9 V","None","5.0","CV","All","Black: Near Solar Conjunction","",""
"FO And","01h 15m 32s","+37d 37m 35s","And","UGSU","18.6 V","13.1 V","0.07161","5.0","CV","All","Black: Near Solar Conjunction","",""
"LS And","00h 32m 10s","+41d 58m 11s","And","UGWZ","20.8 g","11.7 B","None","5.0","CV","All","Red: Last Observation February 15, 2026 8:15 PM UTC (2 months ago)","",""
"PQ And","02h 29m 29s","+40d 02m 39s","And","UGWZ+ZZ/GWLIB","19.2 V","10.0 V","0.056","5.0","CV","All","Black: Near Solar Conjunction","",""
"RX And","01h 04m 35s","+41d 17m 57s","And","UGZ","14.8 V","10.3 V","0.209893","5.0","CV","All","Red: Last Observation March 17, 2026 7:10 PM UTC (1 month ago)","",""
"Z And","23h 33m 39s","+48d 49m 05s","And","ZAND","11.3 V","7.7 V","759.0","5.0","CV","All","Orange: Last Observation April 24, 2026 12:54 AM UTC (3 days ago)","",""
"DH Aql","19h 26m 10s","-10d 15m 28s","Aql","UGSU","18.8 V","12.0 V","0.0774","5.0","CV","All","Red: Last Observation November 20, 2025 10:56 AM UTC (5 months ago)","",""
"FO Aql","19h 16m 38s","+0d 07m 37s","Aql","UGSS","18.0 V","13.0 V","0.217735","5.0","CV","All","Red: Last Observation November 21, 2025 6:26 PM UTC (5 months ago)","",""
"KX Aql","19h 33m 53s","+14d 17m 47s","Aql","UGSU","None V","11.5 V","0.06035","5.0","CV","All","Red: Last Observation April 19, 2026 12:14 AM UTC (1 week ago)","",""
"UU Aql","19h 57m 18s","-9d 19m 21s","Aql","UGSS","17.0 V","11.0 V","0.1635324","5.0","CV","All","Red: Last Observation December 11, 2025 6:29 PM UTC (4 months ago)","",""
"V0603 Aql","18h 48m 54s","+0d 35m 02s","Aql","NA","12.7 V","-1.4 V","0.13820103","5.0","CV","All","Orange: Last Observation April 23, 2026 1:54 AM UTC (4 days ago)","",""
"V0725 Aql","19h 56m 45s","+10d 49m 32s","Aql","UGSU","19.7 V","13.3 V","0.0944","5.0","CV","All","Red: Last Observation December 16, 2025 6:04 PM UTC (4 months ago)","",""
"V1413 Aql","19h 03m 46s","+16d 26m 17s","Aql","ZAND+EA","15.1 V","10.4 V","434.33","10.0","CV","All","Green: Last Observation April 24, 2026 2:14 AM UTC (3 days ago)","",""
"VY Aqr","21h 12m 09s","-8d 49m 36s","Aqr","UGSU","17.5 V","10.0 V","0.06309","5.0","CV","All","Red: Last Observation December 19, 2025 5:58 PM UTC (4 months ago)","",""
"VZ Aqr","21h 30m 24s","-2d 59m 17s","Aqr","UGSS","18.4 V","12.0 V","0.1606","5.0","CV","All","Red: Last Observation December 19, 2025 5:57 PM UTC (4 months ago)","",""
"AT Ara","17h 30m 33s","-46d 05m 58s","Ara","UGSS","15.32 V","11.5 V","0.3755","5.0","CV","All","Red: Last Observation April 19, 2026 3:49 AM UTC (1 week ago)","",""
"BF Ara","17h 38m 21s","-47d 10m 41s","Ara","UGSU","18.7 V","14.0 V","0.08417","5.0","CV","All","Red: Last Observation January 20, 2026 5:01 PM UTC (3 months ago)","",""
"FV Ara","17h 35m 10s","-63d 02m 50s","Ara","UG","18.3 V","13.7 p","None","5.0","CV","All","Red: Last Observation January 26, 2026 3:16 PM UTC (3 months ago)","",""
"SV Ari","03h 25m 03s","+19d 49m 52s","Ari","UGWZ","22.1 V","None V","None","5.0","CV","All","Black: Near Solar Conjunction","",""
"TT Ari","02h 06m 53s","+15d 17m 41s","Ari","NL/VY","16.5 V","10.2 V","0.137551","5.0","CV","All","Black: Near Solar Conjunction","",""
"KR Aur","06h 15m 43s","+28d 35m 09s","Aur","NL/VY","None V","12.7 V","0.162771641","5.0","CV","All","Red: Last Observation April 14, 2026 8:25 PM UTC (1 week ago)","",""
"SS Aur","06h 13m 22s","+47d 44m 25s","Aur","UGSS","16.8 V","10.3 V","0.1828","5.0","CV","All","Orange: Last Observation April 23, 2026 7:14 PM UTC (4 days ago)","",""
"TT Boo","14h 57m 44s","+40d 43m 40s","Boo","UGSU","19.8 V","12.8 V","0.07594","5.0","CV","All","Green: Last Observation April 24, 2026 10:02 PM UTC (2 days ago)","",""
"UZ Boo","14h 44m 01s","+22d 00m 54s","Boo","UGWZ","20.2 V","11.5 V","None","5.0","CV","All","Green: Last Observation April 24, 2026 9:58 PM UTC (2 days ago)","",""
"AF Cam","03h 32m 15s","+58d 47m 22s","Cam","UGSS","18.2 V","13.0 V","0.3240782","5.0","CV","All","Red: Last Observation April 8, 2026 8:38 PM UTC (2 weeks ago)","",""
"Z Cam","08h 25m 13s","+73d 06m 39s","Cam","UGZ+N","14.5 V","10.0 V","0.289841","5.0","CV","All","Green: Last Observation April 24, 2026 9:07 PM UTC (3 days ago)","",""
"OY Car","10h 06m 22s","-70d 14m 04s","Car","UGSU+E","16.2 V","11.2 V","0.0631209247","5.0","CV","All","Red: Last Observation April 15, 2026 11:55 AM UTC (1 week ago)","",""
"AM Cas","02h 26m 23s","+71d 18m 31s","Cas","UGSS","15.6 V","12.3 V","0.1652","5.0","CV","All","Red: Last Observation March 15, 2026 7:20 PM UTC (1 month ago)","",""
"GX Cas","00h 49m 01s","+56d 52m 43s","Cas","UGSU","18.5 V","13.3 V","0.08902","5.0","CV","All","Red: Last Observation March 17, 2026 7:21 PM UTC (1 month ago)","",""
"HT Cas","01h 10m 12s","+60d 04m 36s","Cas","UGSU+E","19.3 V","12.6 V","0.0736472031","5.0","CV","All","Red: Last Observation March 17, 2026 7:42 PM UTC (1 month ago)","",""
"KU Cas","01h 31m 02s","+57d 54m 12s","Cas","UGSS","19.4 V","12.5 V","None","5.0","CV","All","Red: Last Observation March 15, 2026 7:21 PM UTC (1 month ago)","",""
"V0630 Cas","23h 48m 51s","+51d 27m 39s","Cas","UG","16.9 V","13.9 V","2.56388","5.0","CV","All","Red: Last Observation February 24, 2026 7:57 PM UTC (2 months ago)","",""
"BV Cen","13h 31m 19s","-54d 58m 33s","Cen","UGSS","13.6 V","10.7 V","0.610113","5.0","CV","All","Red: Last Observation April 18, 2026 3:20 AM UTC (1 week ago)","",""
"MU Cen","12h 12m 53s","-44d 28m 15s","Cen","UGSS","15.0 V","11.8 V","0.341883","5.0","CV","All","Red: Last Observation March 31, 2026 3:47 AM UTC (1 month ago)","",""
"NN Cen","13h 14m 15s","-60d 52m 46s","Cen","UGSS","18.1 V","13.2 V","None","5.0","CV","All","Red: Last Observation January 26, 2026 2:22 PM UTC (3 months ago)","",""
"V0436 Cen","11h 14m 00s","-37d 40m 47s","Cen","UGSU","16.5 V","10.8 V","0.062501","5.0","CV","All","Red: Last Observation January 26, 2026 2:03 PM UTC (3 months ago)","",""
"V0442 Cen","11h 24m 51s","-35d 54m 36s","Cen","UGSS","16.5 V","11.3 V","0.46","5.0","CV","All","Red: Last Observation January 26, 2026 2:02 PM UTC (3 months ago)","",""
"V0485 Cen","12h 57m 23s","-33d 12m 05s","Cen","UGSU","18.2 V","12.9 p","0.040995","5.0","CV","All","Red: Last Observation January 26, 2026 2:14 PM UTC (3 months ago)","",""
"V0504 Cen","14h 12m 49s","-40d 21m 37s","Cen","NL/VY","18.0 p","12.0 p","None","5.0","CV","All","Red: Last Observation January 26, 2026 2:33 PM UTC (3 months ago)","",""
"V0803 Cen","13h 23m 44s","-41d 44m 29s","Cen","UGSU/IBWD","17.7 V","12.7 V","0.01848","5.0","CV","All","Red: Last Observation April 22, 2026 8:58 AM UTC (5 days ago)","",""
"WW Cet","00h 11m 24s","-11d 28m 43s","Cet","UGZ","15.8 V","10.4 V","0.17578","5.0","CV","All","Red: Last Observation January 24, 2026 11:21 AM UTC (3 months ago)","",""
"WX Cet","01h 17m 04s","-17d 56m 22s","Cet","UGSU","18.6 V","10.8 V","0.058261","5.0","CV","All","Red: Last Observation January 25, 2026 1:54 AM UTC (3 months ago)","",""
"Z Cha","08h 07m 28s","-76d 32m 01s","Cha","UGSU+E","None V","11.5 V","0.074499258","5.0","CV","All","Red: Last Observation April 21, 2026 10:30 AM UTC (6 days ago)","",""
"AE Cir","14h 44m 51s","-69d 23m 34s","Cir","ZAND+ELL:","15.5 V","11.5 V","None","5.0","CV","All","Green: Last Observation April 24, 2026 3:36 PM UTC (3 days ago)","",""
"HL CMa","06h 45m 17s","-16d 51m 34s","CMa","UGZ/IW","15.0 V","10.7 V","0.216787","5.0","CV","All","Orange: Last Observation April 22, 2026 9:54 PM UTC (4 days ago)","",""
"SV CMi","07h 31m 08s","+5d 58m 48s","CMi","UGSS","17.1 V","13.0 V","0.156","5.0","CV","All","Green: Last Observation April 25, 2026 10:06 AM UTC (2 days ago)","",""
"AK Cnc","08h 55m 21s","+11d 18m 15s","Cnc","UGSU","19.2 V","13.3 V","0.0651","5.0","CV","All","Red: Last Observation April 19, 2026 9:39 PM UTC (1 week ago)","",""
"AT Cnc","08h 28m 36s","+25d 20m 03s","Cnc","NA+UGZ/DQ:","15.8 V","12.5 V","0.2016","5.0","CV","All","Red: Last Observation April 22, 2026 7:11 PM UTC (5 days ago)","",""
"CC Cnc","08h 36m 19s","+21d 21m 05s","Cnc","UGSU","18.2 V","13.0 V","0.07352","5.0","CV","All","Red: Last Observation April 20, 2026 8:33 PM UTC (1 week ago)","",""
"EG Cnc","08h 43m 04s","+27d 51m 49s","Cnc","UGWZ","19.2 V","11.9 V","0.05997","5.0","CV","All","Red: Last Observation April 21, 2026 9:45 PM UTC (6 days ago)","",""
"SY Cnc","09h 01m 03s","+17d 53m 56s","Cnc","UGZ","14.0 V","11.0 V","0.3823753","5.0","CV","All","Orange: Last Observation April 23, 2026 8:22 PM UTC (4 days ago)","",""
"YZ Cnc","08h 10m 56s","+28d 08m 33s","Cnc","UGSU","16.3 V","10.5 V","0.0868","5.0","CV","All","Orange: Last Observation April 23, 2026 7:17 PM UTC (4 days ago)","",""
"TV Col","05h 29m 25s","-32d 49m 03s","Col","UG/DQ+E","14.5 V","12.1 V","0.2285999","5.0","CV","All","Red: Last Observation April 21, 2026 11:11 AM UTC (6 days ago)","",""
"AL Com","12h 32m 25s","+14d 20m 43s","Com","UGWZ","19.8 V","12.9 V","0.056668","5.0","CV","All","Red: Last Observation April 21, 2026 10:24 PM UTC (5 days ago)","",""
"T CrB","15h 59m 30s","+25d 55m 12s","CrB","NR+ELL","10.8 V","2.0 V","227.5528","1.0","CV","All","Red: Last Observation April 26, 2026 9:21 AM UTC (1 day ago)","",""
"TT Crt","11h 34m 47s","-11d 45m 30s","Crt","UGSS","15.3 V","12.5 V","0.26842","5.0","CV","All","Red: Last Observation April 19, 2026 10:59 PM UTC (1 week ago)","",""
"TX CVn","12h 44m 42s","+36d 45m 50s","CVn","ZAND+ELL","10.28 V","9.34 V","199.75","10.0","CV","All","Green: Last Observation April 20, 2026 11:43 PM UTC (6 days ago)","",""
"BF Cyg","19h 23m 53s","+29d 40m 29s","Cyg","ZAND","13.5 V","9.1 V","755.0","10.0","CV","All","Red: Last Observation April 17, 2026 6:49 AM UTC (1 week ago)","",""
"CH Cyg","19h 24m 33s","+50d 14m 29s","Cyg","ZAND+SR","10.1 V","5.6 V","None","5.0","Alert/Campaign","B","Red: Last Observation April 21, 2026 5:57 AM UTC (6 days ago)","High Priority","B and V especially needed
[[Alert Notice 639 https://www.aavso.org/aavso-alert-notice-639]]
[[Alert Notice 454 https://www.aavso.org/aavso-alert-notice-454]]
[[Special Notice #320 https://www.aavso.org/aavso-special-notice-320]]"
"EM Cyg","19h 38m 40s","+30d 30m 28s","Cyg","UGZ+E","14.4 p","11.9 p","0.29090913","5.0","CV","All","Red: Last Observation January 26, 2026 1:30 AM UTC (3 months ago)","",""
"EY Cyg","19h 54m 36s","+32d 21m 55s","Cyg","UGSS","15.5 V","11.4 V","0.459324","5.0","CV","All","Red: Last Observation March 1, 2026 4:19 AM UTC (1 month ago)","",""
"Q Cyg","21h 41m 43s","+42d 50m 29s","Cyg","NA","15.6 V","3.0 V","0.4202","5.0","CV","All","Red: Last Observation February 8, 2026 12:58 AM UTC (2 months ago)","",""
"V0404 Cyg","20h 24m 03s","+33d 52m 02s","Cyg","LMXB/BHXB/XN","18.8 V","11.2 V","6.47083","5.0","CV","All","Red: Last Observation December 24, 2025 6:02 PM UTC (4 months ago)","",""
"V0476 Cyg","19h 58m 24s","+53d 37m 06s","Cyg","NA+UG","18.9 V","1.9 V","None","5.0","CV","All","Red: Last Observation December 24, 2025 5:49 PM UTC (4 months ago)","",""
"V0503 Cyg","20h 27m 17s","+43d 41m 22s","Cyg","UGSU","17.6 V","13.4 V","0.0777","5.0","CV","All","Green: Last Observation April 25, 2026 5:15 AM UTC (2 days ago)","",""
"V0516 Cyg","20h 47m 09s","+41d 55m 26s","Cyg","UGSS","17.4 V","13.4 V","0.1712","5.0","CV","All","Red: Last Observation December 25, 2025 6:34 PM UTC (4 months ago)","",""
"V0542 Cyg","19h 49m 10s","+58d 31m 59s","Cyg","UGSS","17.8 V","13.6 V","0.1815","5.0","CV","All","Red: Last Observation December 24, 2025 5:51 PM UTC (4 months ago)","",""
"V0630 Cyg","21h 34m 59s","+40d 40m 18s","Cyg","UGSU","17.2 p","13.4 p","None","5.0","CV","All","Red: Last Observation January 1, 2026 6:09 PM UTC (3 months ago)","",""
"V0632 Cyg","21h 36m 04s","+40d 26m 19s","Cyg","UGSU","18.5 V","13.0 V","0.06377","5.0","CV","All","Red: Last Observation January 1, 2026 5:57 PM UTC (3 months ago)","",""
"V0751 Cyg","20h 52m 12s","+44d 19m 26s","Cyg","NL/VY","16.3 p","13.8 p","0.144464","5.0","CV","All","Red: Last Observation March 23, 2026 11:35 AM UTC (1 month ago)","",""
"V0795 Cyg","19h 34m 34s","+31d 32m 11s","Cyg","UGSS","None p","13.4 p","0.181299","5.0","CV","All","Red: Last Observation December 19, 2025 6:09 PM UTC (4 months ago)","",""
"V0811 Cyg","19h 48m 23s","+36d 26m 23s","Cyg","UGSS","17.0 V","13.6 V","0.15656","5.0","CV","All","Red: Last Observation December 24, 2025 5:42 PM UTC (4 months ago)","",""
"V1016 Cyg","19h 57m 05s","+39d 49m 36s","Cyg","NC+M","17.5 B","10.05 B","None","5.0","CV","All","Red: Last Observation November 25, 2025 7:48 PM UTC (5 months ago)","",""
"V1028 Cyg","20h 00m 56s","+56d 56m 36s","Cyg","UGSU","19.5 V","12.7 V","None","5.0","CV","All","Red: Last Observation December 25, 2025 5:41 PM UTC (4 months ago)","",""
"V1251 Cyg","21h 40m 54s","+48d 39m 43s","Cyg","UGWZ","20.3 V","12.5 V","0.07433","5.0","CV","All","Red: Last Observation January 1, 2026 6:12 PM UTC (3 months ago)","",""
"V1454 Cyg","19h 53m 38s","+35d 21m 45s","Cyg","UGSU","20.5 V","13.9 V","0.0565","5.0","CV","All","Red: Last Observation December 19, 2025 6:02 PM UTC (4 months ago)","",""
"V1500 Cyg","21h 11m 36s","+48d 09m 02s","Cyg","NA/AM+E","19.6 V","1.69 V","0.1396126","5.0","CV","All","Red: Last Observation December 24, 2025 6:21 PM UTC (4 months ago)","",""
"V1668 Cyg","21h 42m 35s","+44d 01m 54s","Cyg","NA","None V","6.0 V","0.1384","5.0","CV","All","Red: Last Observation February 8, 2026 12:58 AM UTC (2 months ago)","",""
"V1819 Cyg","19h 54m 37s","+35d 42m 16s","Cyg","NB","17.0 V","9.3 V","None","5.0","CV","All","Red: Last Observation December 24, 2025 5:41 PM UTC (4 months ago)","",""
"HR Del","20h 42m 20s","+19d 09m 39s","Del","NB","12.1 V","3.6 V","0.214165","5.0","CV","All","Red: Last Observation March 13, 2026 9:35 AM UTC (1 month ago)","",""
"AB Dra","19h 49m 06s","+77d 44m 23s","Dra","UGZ","16.2 V","12.3 V","0.152","5.0","CV","All","Orange: Last Observation April 23, 2026 8:58 PM UTC (4 days ago)","",""
"AG Dra","16h 01m 41s","+66d 48m 10s","Dra","ZAND","10.3 V","7.9 V","548.65","3.0","Alert/Campaign","B","Green: Last Observation April 25, 2026 8:42 PM UTC (2 days ago)","High Priority","[[Alert Notice 631 https://www.aavso.org/aavso-alert-notice-631]]"
"DO Dra","11h 43m 38s","+71d 41m 20s","Dra","UG/DQ","17.2 V","10.0 V","0.165374","5.0","CV","All","Orange: Last Observation April 23, 2026 1:19 AM UTC (4 days ago)","",""
"AH Eri","04h 22m 38s","-13d 21m 30s","Eri","UGSS/DQ:","18.5 V","13.5 V","0.2391","5.0","CV","All","Red: Last Observation January 26, 2026 2:45 PM UTC (3 months ago)","",""
"AQ Eri","05h 06m 13s","-4d 08m 07s","Eri","UGSU","17.8 V","12.5 V","0.06094","5.0","CV","All","Red: Last Observation April 15, 2026 7:39 PM UTC (1 week ago)","",""
"AW Gem","07h 22m 40s","+28d 30m 16s","Gem","UGSU","19.4 V","12.9 V","0.07621","5.0","CV","All","Red: Last Observation April 21, 2026 9:42 PM UTC (6 days ago)","",""
"IR Gem","06h 47m 34s","+28d 06m 22s","Gem","UGSU","17.3 V","11.2 V","0.0684","5.0","CV","All","Red: Last Observation April 19, 2026 9:21 PM UTC (1 week ago)","",""
"U Gem","07h 55m 05s","+22d 00m 04s","Gem","UGSS+E","14.9 V","8.2 V","0.1769061","5.0","CV","All","Red: Last Observation April 22, 2026 8:21 PM UTC (5 days ago)","",""
"AH Her","16h 44m 10s","+25d 15m 02s","Her","UGZ/IW","14.9 V","10.8 V","0.258116","5.0","CV","All","Red: Last Observation April 18, 2026 11:18 PM UTC (1 week ago)","",""
"AM Her","18h 16m 13s","+49d 52m 04s","Her","AM+E","15.7 V","12.3 V","0.12892713","5.0","CV","All","Green: Last Observation April 25, 2026 1:56 AM UTC (2 days ago)","",""
"CH Her","18h 34m 46s","+24d 48m 01s","Her","UGSU","19.8 V","14.4 V","None","5.0","CV","All","Red: Last Observation November 21, 2025 6:18 PM UTC (5 months ago)","",""
"DQ Her","18h 07m 30s","+45d 51m 32s","Her","NB/DQ+E","17.6 V","1.3 V","0.1936209154","5.0","CV","All","Red: Last Observation April 18, 2026 9:09 AM UTC (1 week ago)","",""
"V0443 Her","18h 22m 07s","+23d 27m 20s","Her","ZAND","11.72 V","11.42 V","599.4","10.0","CV","All","Red: Last Observation April 12, 2026 8:58 AM UTC (2 weeks ago)","",""
"V0446 Her","18h 57m 21s","+13d 14m 29s","Her","NA+UGSS","18.8 p","2.8 p","0.207","5.0","CV","All","Red: Last Observation November 21, 2025 6:13 PM UTC (5 months ago)","",""
"V0533 Her","18h 14m 20s","+41d 51m 22s","Her","NA+NL/VY","16.4 V","3.0 p","0.147","5.0","CV","All","Red: Last Observation April 12, 2026 3:11 AM UTC (2 weeks ago)","",""
"YY Her","18h 14m 34s","+20d 59m 20s","Her","ZAND+ELL","14.6 B","11.1 B","589.5","10.0","CV","All","Red: Last Observation April 12, 2026 8:55 AM UTC (2 weeks ago)","",""
"AG Hya","09h 50m 29s","-23d 45m 17s","Hya","UG","19.2 V","14.2 V","0.238","5.0","CV","All","Red: Last Observation March 17, 2026 1:50 PM UTC (1 month ago)","",""
"EX Hya","12h 52m 24s","-29d 14m 56s","Hya","UG/DQ+E","14.3 V","10.0 V","0.068234","5.0","CV","All","Red: Last Observation April 8, 2026 12:43 PM UTC (2 weeks ago)","",""
"VW Hyi","04h 09m 11s","-71d 17m 41s","Hyi","UGSU","14.4 V","8.4 V","0.074271","5.0","CV","All","Red: Last Observation April 21, 2026 11:14 AM UTC (6 days ago)","",""
"WX Hyi","02h 09m 50s","-63d 18m 39s","Hyi","UGSU","15.9 V","9.6 V","0.074813","5.0","CV","All","Red: Last Observation April 17, 2026 10:48 PM UTC (1 week ago)","",""
"TT Ind","20h 33m 37s","-56d 33m 45s","Ind","UG","18.3 V","11.9 V","None","5.0","CV","All","Red: Last Observation December 28, 2025 11:38 AM UTC (4 months ago)","",""
"TU Ind","20h 33m 10s","-45d 26m 00s","Ind","UG","15.54 B","12.9 B","None","5.0","CV","All","Red: Last Observation December 27, 2025 11:35 AM UTC (4 months ago)","",""
"CP Lac","22h 15m 41s","+55d 37m 01s","Lac","NA/VY","20.4 CV","2.1 V","0.145143","5.0","CV","All","Red: Last Observation December 24, 2025 6:30 PM UTC (4 months ago)","",""
"RZ Leo","11h 37m 22s","+1d 48m 58s","Leo","UGWZ","19.2 V","11.5 V","0.076038","5.0","CV","All","Red: Last Observation April 21, 2026 10:04 PM UTC (5 days ago)","",""
"X Leo","09h 51m 01s","+11d 52m 31s","Leo","UGSS","17.2 V","11.8 V","0.1644","5.0","CV","All","Green: Last Observation April 24, 2026 9:09 PM UTC (3 days ago)","",""
"SS Lep","06h 04m 59s","-16d 29m 03s","Lep","ELL+ZAND","5.06 V","4.82 V","260.34","10.0","CV","All","Red: Last Observation February 13, 2026 1:34 AM UTC (2 months ago)","",""
"BR Lup","15h 35m 53s","-40d 34m 05s","Lup","UGSU","17.5 p","13.1 p","0.0795","5.0","CV","All","Red: Last Observation April 2, 2026 4:21 PM UTC (3 weeks ago)","",""
"AY Lyr","18h 44m 26s","+37d 59m 51s","Lyr","UGSU","18.4 B","12.5 B","0.0733","5.0","CV","All","Orange: Last Observation April 24, 2026 8:44 AM UTC (3 days ago)","",""
"CY Lyr","18h 52m 41s","+26d 45m 31s","Lyr","UGSS","None V","12.9 V","0.1591","5.0","CV","All","Orange: Last Observation April 24, 2026 8:50 AM UTC (3 days ago)","",""
"DM Lyr","18h 58m 44s","+30d 15m 33s","Lyr","UGSU","18.0 p","13.6 p","0.065409","5.0","CV","All","Red: Last Observation November 23, 2025 6:23 PM UTC (5 months ago)","",""
"LL Lyr","18h 35m 12s","+38d 20m 04s","Lyr","UG","18.5 V","12.9 V","0.249069","5.0","CV","All","Orange: Last Observation April 24, 2026 8:38 AM UTC (3 days ago)","",""
"MV Lyr","19h 07m 16s","+44d 01m 08s","Lyr","NL/VY","18.0 B","12.2 B","0.1329","5.0","CV","All","Red: Last Observation April 19, 2026 1:15 AM UTC (1 week ago)","",""
"V0344 Lyr","18h 44m 39s","+43d 22m 27s","Lyr","UGSU","19.0 V","13.8 V","0.087904","5.0","CV","All","Orange: Last Observation April 24, 2026 8:57 AM UTC (3 days ago)","",""
"TU Men","04h 41m 40s","-76d 36m 45s","Men","UGSU","18.5 V","11.6 V","0.1172","5.0","CV","All","Red: Last Observation March 31, 2026 10:59 PM UTC (3 weeks ago)","",""
"CW Mon","06h 36m 54s","+0d 02m 17s","Mon","UGSS+E","17.2 V","11.9 V","0.19346802","5.0","CV","All","Red: Last Observation March 27, 2026 7:38 PM UTC (1 month ago)","",""
"SY Mus","11h 32m 10s","-65d 25m 11s","Mus","ZAND+SR","12.7 V","10.2 V","624.5","10.0","CV","All","Green: Last Observation April 21, 2026 3:07 PM UTC (6 days ago)","",""
"HP Nor","16h 20m 49s","-54d 53m 22s","Nor","UG","16.41 V","12.8 V","None","5.0","CV","All","Green: Last Observation April 25, 2026 10:39 AM UTC (2 days ago)","",""
"IK Nor","16h 25m 28s","-55d 20m 02s","Nor","UG","16.3 p","12.9 p","None","5.0","CV","All","Red: Last Observation January 22, 2026 3:28 PM UTC (3 months ago)","",""
"RS Oph","17h 50m 13s","-6d 42m 28s","Oph","NR+LB","12.5 V","4.3 V","453.6","1.0","CV","All","Red: Last Observation April 25, 2026 3:45 PM UTC (2 days ago)","",""
"V0426 Oph","18h 07m 51s","+5d 51m 47s","Oph","UGZ/DQ:","13.4 V","11.2 V","0.2853","5.0","CV","All","Red: Last Observation January 30, 2026 3:00 AM UTC (2 months ago)","",""
"V2051 Oph","17h 08m 19s","-25d 48m 31s","Oph","UGSU+E","17.5 V","11.6 V","0.06242786","5.0","CV","All","Red: Last Observation April 11, 2026 5:15 PM UTC (2 weeks ago)","",""
"BI Ori","05h 23m 51s","+1d 00m 30s","Ori","UG","17.6 V","13.9 V","0.1915","5.0","CV","All","Red: Last Observation April 1, 2026 10:35 AM UTC (3 weeks ago)","",""
"CN Ori","05h 52m 07s","-5d 25m 00s","Ori","UGSS","16.2 V","12.1 V","0.163199","5.0","CV","All","Red: Last Observation March 27, 2026 7:30 PM UTC (1 month ago)","",""
"CZ Ori","06h 16m 43s","+15d 24m 11s","Ori","UGSS","17.6 V","12.1 V","0.2189","5.0","CV","All","Red: Last Observation April 18, 2026 8:41 PM UTC (1 week ago)","",""
"V0344 Ori","06h 15m 18s","+15d 30m 59s","Ori","UG","19.1 V","14.1 V","0.2338","5.0","CV","All","Red: Last Observation April 18, 2026 8:43 PM UTC (1 week ago)","",""
"AG Peg","21h 51m 01s","+12d 37m 32s","Peg","ZAND+R","9.4 V","6.0 V","816.5","1.0","Alert/Campaign","B","Red: Last Observation December 19, 2025 6:23 PM UTC (4 months ago)","High Priority","[[Alert Notice 521 https://www.aavso.org/aavso-alert-notice-521]]"
"EF Peg","21h 15m 04s","+14d 03m 49s","Peg","UGSU","18.5 V","10.7 V","0.0837","5.0","CV","All","Red: Last Observation December 24, 2025 6:10 PM UTC (4 months ago)","",""
"IP Peg","23h 23m 08s","+18d 24m 59s","Peg","UG+E","17.7 V","11.7 V","0.15820608","5.0","CV","All","Red: Last Observation January 18, 2026 6:45 PM UTC (3 months ago)","",""
"RU Peg","22h 14m 02s","+12d 42m 11s","Peg","UGSS+ZZ:","13.0 V","9.5 V","0.3746","5.0","CV","All","Red: Last Observation January 27, 2026 1:48 AM UTC (3 months ago)","",""
"AX Per","01h 36m 22s","+54d 15m 02s","Per","ZAND+E","12.8 V","9.5 V","680.83","10.0","CV","All","Red: Last Observation April 15, 2026 9:51 PM UTC (1 week ago)","",""
"FO Per","04h 08m 34s","+51d 14m 48s","Per","UG","16.0 V","11.8 V","0.1719","5.0","CV","All","Red: Last Observation April 17, 2026 6:34 PM UTC (1 week ago)","",""
"GK Per","03h 31m 12s","+43d 54m 15s","Per","NA/DQ+UG","14.0 V","0.2 V","1.996803","5.0","CV","All","Red: Last Observation April 19, 2026 9:06 PM UTC (1 week ago)","",""
"KT Per","01h 37m 08s","+50d 57m 20s","Per","UGSS+ZZ","15.9 V","11.5 V","0.162658","5.0","CV","All","Red: Last Observation March 27, 2026 7:47 PM UTC (1 month ago)","",""
"TZ Per","02h 13m 50s","+58d 22m 52s","Per","UGZ","15.6 V","12.0 V","0.262906","5.0","CV","All","Red: Last Observation April 21, 2026 8:24 PM UTC (6 days ago)","",""
"UV Per","02h 10m 08s","+57d 11m 21s","Per","UGSU","18.2 V","11.0 V","0.06489","5.0","CV","All","Red: Last Observation April 8, 2026 8:36 PM UTC (2 weeks ago)","",""
"UW Per","02h 12m 29s","+57d 05m 19s","Per","UG:","19.9 V","None V","None","5.0","CV","All","Red: Last Observation April 8, 2026 8:37 PM UTC (2 weeks ago)","",""
"RR Pic","06h 35m 36s","-62d 38m 24s","Pic","NB","12.9 V","1.0 V","0.145025959","5.0","CV","All","Green: Last Observation April 24, 2026 10:54 AM UTC (3 days ago)","",""
