"Star Name","RA (J2000.0)","Dec (J2000.0)","Var. Type","Min Mag","Max Mag","Period (d)","High Priority","Categories"
"omi Cet","02h 19m 20.8s","-02d 58m 39.5s","M","10.1 V","2.0 V","331.3","","famous|long_period"
"omi Dra","18h 51m 12.1s","+59d 23m 18.1s","EA/RS","4.7 V","4.6 V","138.3","yes","long_period"
"OR Dra","12h 00m 37.5s","+69d 11m 7.7s","DSCT","7.4 V","7.4 V","0.112829","","short_period"
"OU Cep","03h 11m 58.3s","+83d 34m 45.9s","SR","9.6 V","8.5 V","119","","type_m"
"OV Cep","07h 40m 30.5s","+87d 01m 12.3s","SRS:","5.1 V","5.0 V","28.3","","mid_period"
"OW Dra","13h 03m 31.1s","+71d 06m 44.0s","RRC","10.7 V","10.4 V","0.33297","","type_rr"
"phi Dra","18h 20m 45.4s","+71d 20m 16.1s","ACV","4.2 V","4.2 V","1.71646","yes","mid_period"
"phi Per","01h 43m 39.6s","+50d 41m 19.4s","GCAS","4.2 V","4.0 V","19.5","","mid_period"
"pi Cas","00h 43m 28.1s","+47d 01m 28.4s","ELL","5.0 V","4.9 V","1.96422","","type_ea"
"PMAK V49","03h 33m 39.1s","+54d 58m 29.5s","DSCT","6.0 V","6.0 V","0.031936","","short_period"
"PMAK V51","18h 31m 14.9s","+65d 26m 9.7s","EA","6.7 V","6.6 V","14.3647","","mid_period"
"PMAK V52","16h 57m 14.3s","+68d 34m 27.0s","EA","9.1 V","8.9 V","11.25949","","type_ea"
"PMAK V61","17h 36m 42.1s","+68d 22m 58.9s","EA","8.1 V","8.1 V","2.50555","","type_ea"
"PMAK V65","12h 28m 43.9s","+68d 55m 12.9s","EA","8.9 V","8.5 V","18.2902","","type_ea"
"PMAK V68","17h 37m 36.7s","+79d 12m 47.9s","EA","7.6 V","7.4 V","50.0767","","type_ea"
"PMAK V96","19h 00m 2.4s","+62d 44m 52.0s","EA","9.3 V","9.0 V","3.19602","","type_ea"
"PR Cep","21h 58m 1.3s","+56d 44m 49.4s","M","9.9 V","7.2 V","523","","type_m"
"psi 1 Aur","06h 24m 53.9s","+49d 17m 16.4s","SRC","5.7 V","4.5 V","175","","type_src"
"psi Peg","23h 57m 45.5s","+25d 08m 29.0s","SR","4.7 V","4.6 V","","","type_m"
"PY And","00h 36m 20.1s","+27d 15m 17.1s","ACV","6.0 V","6.0 V","4.6904","","type_cv"
"PZ And","02h 20m 58.2s","+50d 09m 5.3s","ACV","5.6 V","5.6 V","4.189","","type_cv"
"PZ Cas","23h 44m 3.3s","+61d 47m 22.2s","SRC","10.2 V","8.2 V","925","","type_src"
"R Cas","23h 58m 24.9s","+51d 23m 19.7s","M","13.5 V","4.7 V","430.6","yes","famous|long_period"
"R UMi","16h 29m 57.9s","+72d 16m 49.1s","SRA","11.2 V","8.5 V","324.6","","type_m"
"rho Cep","22h 29m 53.0s","+78d 49m 27.4s","DSCT","5.5 V","5.5 V","0.073863","","short_period"
"ROTSE1 J152710.47+322721.8","15h 27m 10.5s","+32d 27m 21.8s","CEP","12.8 V","12.6 V","66.16185","","type_cep"
"ROTSE1 J153515.59+351135.9","15h 35m 15.6s","+35d 11m 36.0s","CEP","11.2 V","11.0 V","22.6452503","","type_cep"
"ROTSE1 J155123.71+374231.8","15h 51m 23.7s","+37d 42m 31.8s","CEP","12.0 V","11.8 V","10.6865292","","type_cep"
"ROTSE1 J173342.04+541055.7","17h 33m 42.0s","+54d 10m 55.7s","CEP","11.7 V","11.5 V","39.1142349","","type_cep"
"RR Cam","05h 35m 27.2s","+72d 27m 57.6s","SRA","11.3 V","9.5 V","123.88","","type_m"
"RR Lyr","19h 25m 27.9s","+42d 47m 3.7s","RRAB/BL","8.1 V","7.2 V","0.566775","yes","famous|short_period"
"RS Dra","18h 37m 33.5s","+74d 19m 42.7s","SRA","12.0 V","9.0 V","282.72","","type_m"
"RU Cam","07h 21m 44.1s","+69d 40m 14.7s","CWA|SRS","9.1 V","8.1 V","21.75","","type_cep"
"RU Cas","01h 11m 41.4s","+65d 01m 7.9s","SPB","5.6 V","5.6 V","0.734304","","short_period"
"RU Peg","22h 14m 2.5s","+12d 42m 11.3s","UGSS+ZZ:","13.0 V","9.5 V","0.3746","yes","famous|short_period"
"RU UMi","13h 38m 56.8s","+69d 48m 11.2s","EB/DW","10.7 V","10.0 V","0.52492618","","type_ea"
"RW Cep","22h 23m 7.0s","+55d 57m 47.6s","YHG","7.6 V","6.0 V","346","","long_period"
"RW Cyg","20h 28m 50.6s","+39d 58m 54.4s","SRC","9.4 V","7.7 V","550","","type_src"
"RW Tau","04h 03m 54.3s","+28d 07m 33.5s","EA/SD","11.6 V","8.0 V","2.7687937","yes","famous|mid_period"
"RX Cam","04h 04m 58.5s","+58d 39m 35.2s","DCEP","8.1 V","7.3 V","7.912024","","type_cep"
"RX Cyg","20h 10m 49.6s","+47d 48m 47.2s","BCEP+SPB","8.2 V","8.2 V","0.102969","","type_cep"
"RY Cam","04h 30m 50.1s","+64d 26m 30.4s","SRB","8.7 V","7.7 V","135.75","","long_period"
"RY UMi","13h 38m 37.8s","+76d 04m 25.8s","LB","9.8 V","8.7 V","","","type_lc"
"RZ Cas","02h 48m 55.5s","+69d 38m 3.4s","EA+DSCT","7.7 V","6.2 V","1.19525556","","type_ea"
"RZ Cep","22h 39m 13.2s","+64d 51m 30.6s","RRC/BL:","9.7 V","9.2 V","0.30862741","","type_rr"
"S Cam","05h 41m 2.5s","+68d 47m 55.0s","SRA","11.6 V","7.7 V","327.26","","type_m"
"S UMi","15h 29m 34.6s","+78d 38m 0.3s","M","13.2 V","7.5 V","331","","type_m"
"sig Cyg","21h 17m 25.0s","+39d 23m 40.9s","ACYG","4.3 V","4.2 V","120.2","","long_period"
"SN 2007gr","02h 43m 28.0s","+37d 20m 44.7s","SN","12.9 V","12.9 V","","","type_na"
"SN 2008hy","03h 45m 8.5s","+76d 39m 55.5s","SN","14.0 V","14.0 V","","","type_na"
"SS Cyg","21h 42m 42.8s","+43d 35m 9.9s","UGSS","12.4 V","7.7 V","0.27513","yes","famous|short_period"
"ST Cam","04h 51m 13.4s","+68d 10m 7.6s","SRB","8.5 V","6.3 V","300","","long_period"
"SU Cas","02h 51m 58.7s","+68d 53m 18.6s","DCEPS","6.2 V","5.7 V","1.949319","","type_cep"
"SU Per","02h 22m 6.9s","+56d 36m 14.9s","SRC","8.7 V","7.2 V","533","","type_src"
"SV Cam","06h 41m 19.1s","+82d 16m 2.4s","EA/RS","10.0 V","9.1 V","0.593072","","type_ea"
"SV UMi","14h 01m 10.2s","+69d 41m 49.8s","LB:","9.5 V","9.3 V","","","type_lc"
"SW And","00h 23m 43.1s","+29d 24m 3.6s","RRAB/BL:","10.1 V","9.1 V","0.442262","","type_rr"
"SW Cep","21h 25m 45.9s","+62d 34m 26.4s","SRC","9.7 V","8.2 V","70","","type_src"
"SW Dra","12h 17m 46.6s","+69d 30m 38.2s","RRAB","10.9 V","9.9 V","0.5696714","","type_rr"
"SY Cam","06h 11m 21.5s","+80d 04m 26.2s","SRB","10.8 V","9.6 V","400","","long_period"
"SY UMi","14h 35m 47.5s","+79d 08m 28.0s","LB:","8.8 V","8.6 V","","","type_lc"
"SZ Cam","04h 07m 49.3s","+62d 19m 58.6s","EA+BCEP","7.2 V","6.9 V","2.6983845","","type_ea"
"T CrB","15h 59m 30.2s","+25d 55m 12.6s","NR+ELL","10.8 V","2.0 V","227.5528","","famous|type_na"
"T Cyg","20h 47m 10.8s","+34d 22m 26.8s","LB:","5.0 V","4.9 V","","yes","famous|type_lc"
"T Tau","04h 21m 59.4s","+19d 32m 6.5s","CTTS/ROT","13.5 V","9.3 V","2.81","","famous|mid_period"
"tau Per","02h 54m 15.5s","+52d 45m 44.9s","EA/GS","4.1 V","3.9 V","1515.81","","long_period"
"TIC 263599890","10h 34m 13.5s","+73d 50m 4.2s","DSCT","7.6 V","7.6 V","0.0802953","","short_period"
"TIC 402894425","20h 10m 56.9s","+68d 16m 20.0s","BCEP","6.8 V","6.8 V","0.135877","","type_cep"
"TT UMi","14h 55m 0.2s","+74d 52m 52.4s","SRB","7.0 V","6.9 V","25.1","","mid_period"
"TU Cas","00h 26m 19.4s","+51d 16m 49.3s","DCEP(B)","8.2 V","6.9 V","2.139298","","type_cep"
"TU Per","03h 09m 4.8s","+53d 11m 36.1s","RRAB","13.1 V","11.9 V","0.6070749","","type_rr"
"TU UMi","14h 55m 43.8s","+76d 18m 23.7s","EW","8.9 V","8.8 V","0.3773","","short_period"
"TV Psc","00h 28m 2.9s","+17d 53m 35.2s","SR","5.4 V","4.7 V","49.1","","type_m"
"TV UMi","15h 00m 59.7s","+73d 03m 11.5s","EB","8.7 V","8.6 V","0.41555","","short_period"
"TW UMi","15h 12m 50.9s","+75d 28m 16.2s","LB","8.1 V","7.9 V","","","type_lc"
"TY UMi","15h 17m 57.5s","+83d 51m 34.1s","EA","8.2 V","7.8 V","1.7248","","mid_period"
"TYC 546-1349-1","21h 34m 6.7s","+03d 34m 15.4s","NL","11.8 V","11.5 V","","","type_na"
"TZ UMi","15h 30m 0.2s","+70d 23m 10.2s","LB","8.6 V","8.4 V","","","type_lc"
"U Lac","22h 47m 43.4s","+55d 09m 30.3s","SRC","10.2 V","8.1 V","432","","type_src"
"ups 2 Cas","00h 56m 39.9s","+59d 10m 51.8s","ORG","4.6 V","4.6 V","0.3687","","short_period"
"UV Cam","04h 05m 53.9s","+61d 47m 40.0s","SRB","7.7 V","7.5 V","294","","long_period"
"UX Aur","05h 15m 57.9s","+49d 32m 47.3s","SRC","9.2 V","8.4 V","90","","type_src"
"UX Dra","19h 21m 35.5s","+76d 33m 34.5s","SRB","7.1 V","5.9 V","175","","long_period"
"UY Cam","07h 58m 58.9s","+72d 47m 15.4s","RRC","11.7 V","11.3 V","0.26704234","","type_rr"
"UY UMi","12h 15m 20.3s","+87d 42m 0.4s","GDOR:","6.4 V","6.3 V","0.72369","","short_period"
"V UMi","13h 38m 41.1s","+74d 18m 36.3s","SRB","8.7 V","7.1 V","73","","mid_period"
"V0336 Vul","19h 34m 41.9s","+23d 53m 22.4s","SRC","9.2 V","7.6 V","131.6","","type_src"
"V0337 Cep","21h 37m 55.2s","+62d 04m 55.0s","ACYG","4.8 V","4.7 V","11","","mid_period"
"V0341 Dra","15h 52m 57.7s","+68d 43m 29.9s","EA","10.4 V","10.1 V","1.65042","","type_ea"
"V0354 Per","02h 15m 45.9s","+55d 59m 46.7s","BCEP","8.0 V","8.0 V","0.45039","","type_cep"
"V0357 Per","02h 16m 57.6s","+56d 43m 7.7s","BCEP:","7.5 V","7.4 V","0.28619","","type_cep"
"V0363 Dra","17h 13m 20.0s","+69d 07m 54.2s","RRD","12.9 V","12.3 V","0.403188","","type_rr"
"V0379 Cep","20h 43m 13.7s","+57d 06m 50.4s","EA","6.4 V","6.3 V","99.7638","","type_ea"
"V0381 Cep","21h 19m 15.7s","+58d 37m 24.6s","SRC","5.8 V","5.5 V","","","type_lc"
"V0388 And","23h 27m 7.4s","+42d 54m 43.2s","ACV","5.8 V","5.7 V","1.47946","","type_cv"
"V0388 Cep","23h 15m 37.7s","+70d 53m 17.1s","DSCT","5.6 V","5.6 V","0.277486","","short_period"
"V0393 Cas","02h 02m 39.6s","+71d 17m 52.4s","SRA","7.9 V","7.2 V","393","","long_period"
"V0410 Cep","07h 09m 39.5s","+85d 34m 12.0s","LB:","8.2 V","8.1 V","","","type_lc"
"V0411 Cep","08h 23m 23.4s","+86d 22m 43.2s","LB","8.4 V","8.3 V","","","type_lc"
"V0412 Lac","22h 29m 31.8s","+47d 42m 24.9s","LC","4.4 V","4.2 V","","","type_lc"
"V0424 Lac","22h 56m 26.0s","+49d 44m 0.8s","LC","5.0 V","4.9 V","","","type_lc"
"V0426 Cep","21h 27m 25.3s","+59d 45m 0.3s","LB","6.3 V","6.1 V","","","type_lc"
"V0426 Sge","19h 54m 43.0s","+17d 22m 12.8s","ZAND+NC:","13.2 V","10.7 V","493.4","","type_na"
"V0428 And","00h 36m 46.4s","+44d 29m 18.9s","SR","5.2 V","5.1 V","","","type_m"
"V0430 Aur","05h 34m 17.0s","+41d 07m 24.3s","SRC","7.0 V","6.9 V","410","","type_src"
"V0431 Cep","21h 35m 25.9s","+68d 13m 9.4s","ACV","6.5 V","6.4 V","8.34","","type_cv"
"V0436 Per","01h 51m 59.3s","+55d 08m 50.6s","EA/D","5.8 V","5.5 V","25.9359","","type_ea"
"V0440 Per","02h 23m 51.7s","+55d 21m 53.5s","DCEP","6.3 V","6.2 V","7.57","","type_cep"
"V0444 Cep","22h 06m 13.6s","+56d 20m 36.2s","ELL:","6.4 V","6.3 V","1.43246","","type_ea"
"V0445 Cep","22h 07m 10.9s","+72d 22m 22.3s","ELL:","6.9 V","6.9 V","0.224388","","type_ea"
"V0446 Cas","00h 36m 12.5s","+62d 41m 11.2s","SR","8.3 V","8.0 V","37.28074","","type_m"
"V0447 Dra","20h 32m 33.5s","+82d 15m 21.5s","RRC","12.1 V","11.8 V","0.32827","","type_rr"
"V0450 Dra","11h 11m 28.9s","+73d 06m 55.0s","EW","8.9 V","8.5 V","0.439402","","type_ea"
"V0465 Cas","01h 18m 13.9s","+57d 48m 11.4s","SRB","7.2 V","6.0 V","896","","long_period"
"V0474 Per","02h 22m 21.4s","+55d 50m 44.4s","ACYG","5.2 V","5.2 V","0.9795","","short_period"
"V0491 Cam","07h 52m 45.1s","+81d 19m 51.7s","RRC","12.0 V","11.9 V","0.39275","","type_rr"
"V0507 Dra","17h 14m 53.0s","+67d 42m 9.6s","SR","11.0 V","10.6 V","28","","type_m"
"V0509 Cas","23h 00m 5.1s","+56d 56m 43.4s","YHG","5.4 V","4.8 V","175","","long_period"
"V0525 Dra","17h 54m 28.8s","+68d 49m 0.5s","SR","10.4 V","9.9 V","58","","type_m"
"V0540 Cas","02h 03m 30.5s","+69d 34m 56.3s","ACV","7.8 V","7.7 V","34.9","","type_cv"
"V0557 Cas","01h 42m 20.5s","+68d 02m 34.9s","ACV","5.6 V","5.5 V","3.1848","","type_cv"
"V0567 Cas","00h 05m 6.2s","+61d 18m 50.3s","ACV","5.8 V","5.7 V","6.4322","","type_cv"
"V0592 Cas","00h 20m 52.2s","+55d 42m 16.2s","NL","12.8 V","12.5 V","0.115063","","type_na"
"V0636 Cas","01h 32m 43.2s","+63d 35m 37.7s","DCEPS","7.3 V","7.1 V","8.377","","type_cep"
"V0641 Cas","00h 09m 26.3s","+63d 57m 14.1s","SRC:","9.2 V","7.8 V","310","","type_src"
"V0650 Cas","23h 48m 39.1s","+64d 52m 35.2s","ACV","6.4 V","6.4 V","1.092","","type_cv"
"V0656 Cas","02h 35m 44.7s","+65d 08m 58.6s","M","10.8 V","8.2 V","644","","type_m"
"V0668 Cas","00h 27m 41.2s","+69d 38m 51.5s","M","5.6 V","4.0 V","650","","long_period"
"V0669 Cas","01h 33m 51.2s","+62d 26m 53.2s","M:","3.0 V","1.6 V","1994","yes","long_period"
"V0676 Cas","02h 31m 3.0s","+62d 45m 17.0s","M","10.4 V","7.4 V","552","","type_m"
"V0695 Cyg","20h 13m 37.9s","+46d 44m 28.8s","EA/GS/D","3.9 V","3.7 V","3784.3","","long_period"
"V0701 Cas","03h 23m 37.3s","+70d 27m 5.1s","M","3.6 V","1.3 V","567","yes","long_period"
"V0743 Cas","00h 20m 43.6s","+61d 52m 46.5s","SRC","6.9 V","6.8 V","500","","type_lc"
"V0747 Cyg","20h 37m 17.7s","+50d 19m 39.2s","NL:","12.5 V","11.7 V","","","type_na"
"V0757 Per","02h 18m 23.0s","+57d 00m 36.7s","BCEP","7.8 V","7.7 V","0.164309","","type_cep"
"V0762 Cas","01h 16m 11.9s","+71d 44m 37.8s","LC","6.0 V","5.8 V","","","type_lc"
"V0774 Cas","01h 47m 0.0s","+60d 22m 20.4s","SRC","8.9 V","8.4 V","275","","type_src"
"V0778 Cas","01h 58m 28.9s","+59d 16m 8.8s","SRC","8.5 V","8.2 V","200","","type_src"
"V0779 Cas","02h 02m 9.3s","+75d 30m 7.8s","EA","7.1 V","6.6 V","6.35344","","type_ea"
"V0798 Cas","03h 00m 53.8s","+59d 39m 57.5s","ACV","7.4 V","7.3 V","0.666832","","type_cv"
"V0819 Cyg","19h 53m 1.3s","+47d 48m 27.8s","BCEP:","6.3 V","6.3 V","0.3775","","type_cep"
"V0832 Cyg","20h 59m 49.6s","+47d 31m 15.4s","GCAS+R","5.1 V","4.5 V","28.1971","","mid_period"
"V0861 Cas","00h 36m 36.7s","+68d 01m 20.0s","M","10.8 V","7.5 V","210","","type_m"
"V0965 Her","17h 43m 1.3s","+29d 39m 10.5s","SRC:","7.2 V","7.0 V","29.52","","type_src"
"V1057 Cas","00h 51m 53.0s","+65d 10m 50.1s","RRC","10.5 V","10.3 V","0.423323","","type_rr"
"V1059 Cas","00h 54m 35.9s","+74d 31m 41.4s","RRAB:","10.7 V","10.5 V","0.64968","","type_rr"
"V1084 Her","16h 43m 45.7s","+34d 02m 39.6s","NL","12.8 V","12.5 V","0.12056","","type_na"
"V1128 Cas","01h 33m 33.2s","+61d 33m 29.7s","SRC","8.9 V","8.4 V","92.6","","type_src"
"V1137 Aql","19h 33m 1.7s","+13d 44m 42.0s","SRC","12.8 V","12.1 V","236","","type_src"
"V1143 Cyg","19h 38m 41.2s","+54d 58m 25.6s","EA/DM","6.4 V","5.8 V","7.640753","","type_ea"
"V1334 Cyg","21h 19m 22.2s","+38d 14m 14.9s","DCEPS","6.0 V","5.8 V","3.332816","","type_cep"
"V1351 Cyg","19h 42m 4.2s","+55d 27m 47.6s","LB","6.5 V","6.3 V","","","type_lc"
"V1372 Cyg","20h 13m 36.3s","+53d 39m 33.5s","ACV","7.4 V","7.3 V","18.2","","type_cv"
"V1378 Aql","19h 16m 35.3s","+03d 43m 19.3s","N","12.7 V","10.0 V","","","type_na"
"V1488 Cyg","20h 15m 28.3s","+47d 42m 51.1s","EA/GS/D","4.1 V","3.9 V","1147.4","","long_period"
"V1809 Cyg","21h 18m 27.2s","+43d 56m 45.4s","ELL","5.1 V","5.0 V","","","type_ea"
"V1921 Cyg","19h 51m 42.1s","+44d 21m 45.9s","SRC:","13.1 V","11.8 V","215.481386","","type_src"
"V1931 Cyg","21h 01m 10.9s","+46d 09m 20.8s","LERI","5.5 V","5.3 V","0.29992","","short_period"
"V1942 Cyg","22h 02m 56.7s","+44d 38m 59.5s","ACV","5.6 V","5.6 V","2.388","","type_cv"
"V2015 Cyg","20h 33m 54.8s","+46d 41m 37.9s","ACV","5.8 V","5.8 V","1.006","","type_cv"
"V2101 Cyg","19h 59m 53.8s","+52d 08m 59.4s","LB","7.7 V","6.7 V","","","type_lc"
"V2429 Cyg","20h 43m 40.6s","+44d 28m 37.6s","SRC:","13.7 V","10.4 V","503","","type_src"
"VSSP J045026.49+370944.7","04h 50m 26.5s","+37d 09m 44.7s","NL:","13.4 V","13.2 V","","","type_na"
"VSSP J211939.14+302508.3","21h 19m 39.1s","+30d 25m 8.3s","NL:","12.4 V","12.0 V","","","type_na"
"VSSP J213235.66-005139.7","21h 32m 35.7s","-00d 51m 39.7s","NL:","12.4 V","12.3 V","","","type_na"
"VV Cep","21h 56m 39.1s","+63d 37m 32.0s","EA/GS+SRC","5.5 V","4.7 V","7460","","long_period"
"VW Cep","20h 37m 21.5s","+75d 36m 1.5s","EW/KW","7.7 V","7.3 V","0.2783089","","type_ea"
"VW UMa","10h 59m 1.8s","+69d 59m 20.6s","SRB","7.7 V","6.7 V","66","","mid_period"
"VX And","00h 19m 54.0s","+44d 42m 33.9s","SRA","9.7 V","7.5 V","375","","type_m"
"VX UMi","17h 01m 40.1s","+75d 17m 51.0s","GDOR","6.5 V","6.5 V","0.34511","","short_period"
"VY UMa","10h 45m 4.0s","+67d 24m 41.0s","SRB","6.3 V","5.7 V","120.4","yes","famous|long_period"
"VZ Cam","07h 31m 4.5s","+82d 24m 41.3s","SRS","5.0 V","4.8 V","23.7","","mid_period"
"W Cep","22h 36m 27.6s","+58d 25m 33.9s","SRC","8.5 V","7.0 V","350","","type_src"
"WISE J001822.6+553150","00h 18m 22.7s","+55d 31m 50.0s","RRC","9.0 V","8.8 V","0.3465941","","type_rr"
"WISE J003513.3+825030","00h 35m 13.3s","+82d 50m 30.6s","DCEP","8.9 V","8.7 V","6.0744316","","type_cep"
"WISE J030453.7+510731","03h 04m 53.8s","+51d 07m 31.7s","RRC","11.4 V","11.1 V","0.387721","","type_rr"
"WISE J054026.0+662835","05h 40m 26.0s","+66d 28m 35.6s","CEP","10.0 V","9.9 V","2.5337274","","type_cep"
"WISE J060059.5+874514","06h 00m 59.6s","+87d 45m 15.0s","RRC","13.1 V","12.9 V","0.3624698","","type_rr"
"WISE J074958.7+873228","07h 49m 58.7s","+87d 32m 28.7s","CEP","12.3 V","12.1 V","5.9055961","","type_cep"
"WISE J104513.5+672238","10h 45m 13.5s","+67d 22m 39.0s","CEP","13.8 V","13.0 V","2.3749837","","type_cep"
"WISE J114356.8+815542","11h 43m 56.9s","+81d 55m 42.5s","RRC","11.9 V","11.7 V","0.3436347","","type_rr"
"WISE J125656.5+752821","12h 56m 56.5s","+75d 28m 21.5s","EB","8.6 V","8.3 V","1.6809747","","type_ea"
"WISE J130957.8+753517","13h 09m 57.9s","+75d 35m 17.5s","EA","8.3 V","8.1 V","1.5653591","","type_ea"
"WISE J133953.4+640251","13h 39m 53.5s","+64d 02m 51.2s","CEP","11.5 V","11.3 V","7.9083839","","type_cep"
"WISE J165327.0+562847","16h 53m 27.1s","+56d 28m 47.3s","DCEP","9.3 V","9.2 V","13.2162491","","type_cep"
"WISE J174301.8+660642","17h 43m 1.8s","+66d 06m 42.0s","EW","8.2 V","8.1 V","0.3640585","","type_ea"
"WISE J175104.5+635405","17h 51m 4.6s","+63d 54m 5.3s","ACEP|CEP","11.3 V","11.2 V","1.5389048","","type_cep"
"WISE J175540.6+524741","17h 55m 40.7s","+52d 47m 41.1s","DCEP","10.8 V","10.7 V","6.0504054","","type_cep"
"WISE J175725.1+713144","17h 57m 25.1s","+71d 31m 44.8s","CEP","9.4 V","9.4 V","8.7398119","","type_cep"
"WISE J180841.6+673559","18h 08m 41.6s","+67d 35m 59.3s","CEP","9.7 V","9.6 V","7.6621334","","type_cep"
"WISE J184837.2+615212","18h 48m 37.3s","+61d 52m 12.0s","EW","9.3 V","9.2 V","0.299534","","type_ea"
"WISE J185000.4+643033","18h 50m 0.5s","+64d 30m 33.7s","RRAB","9.1 V","9.0 V","0.7620937","","type_rr"
"WISE J195347.1+522636","19h 53m 47.2s","+52d 26m 37.0s","CEP","9.2 V","9.1 V","2.3471093","","type_cep"
"WISE J195428.2+610423","19h 54m 28.3s","+61d 04m 23.2s","DCEP","10.0 V","9.9 V","3.335266","","type_cep"
"WISE J200322.3+680821","20h 03m 22.4s","+68d 08m 21.4s","RRC","11.0 V","10.9 V","0.3333862","","type_rr"
"WISE J203834.3+694648","20h 38m 34.3s","+69d 46m 48.6s","CEP","8.6 V","8.4 V","4.8902382","","type_cep"
"WISE J203839.2+631540","20h 38m 39.2s","+63d 15m 40.2s","RRC","10.5 V","10.3 V","0.4041466","","type_rr"
"WISE J204754.7+704334","20h 47m 54.7s","+70d 43m 34.6s","RRAB","10.2 V","10.1 V","0.5521955","","type_rr"
"WISE J220535.3+484327","22h 05m 35.3s","+48d 43m 27.7s","RRAB","9.9 V","9.8 V","0.7471284","","type_rr"
"WISE J230703.9+414254","23h 07m 4.0s","+41d 42m 54.7s","RRC","8.7 V","8.6 V","0.3468641","","type_rr"
"WISE J232906.6+622953","23h 29m 6.6s","+62d 29m 53.1s","RRAB","9.9 V","9.7 V","0.4601201","","type_rr"
"WW Vul","19h 25m 58.7s","+21d 12m 31.3s","UXOR","12.9 V","10.3 V","","yes","famous"
"XX Per","02h 03m 9.4s","+55d 13m 56.6s","SRC","9.0 V","7.6 V","415","","type_src"
"XY Lyr","18h 38m 6.5s","+39d 40m 6.0s","SRC","6.6 V","5.6 V","120","","type_src"
"XY UMi","14h 17m 55.7s","+71d 41m 7.4s","RRAB","13.8 V","12.9 V","0.65252","","type_rr"
"XZ Cyg","19h 32m 29.3s","+56d 23m 17.5s","RRAB/BL","10.2 V","8.8 V","0.4665957","","type_rr"
"XZ Dra","19h 09m 42.6s","+64d 51m 32.1s","RRAB/BL","10.7 V","9.6 V","0.476497","","type_rr"
"XZ UMi","14h 39m 51.6s","+74d 45m 2.1s","RRAB/BL","12.5 V","12.0 V","0.58521","","type_rr"
"Y Lyn","07h 28m 11.6s","+45d 59m 26.2s","SRC","8.3 V","6.6 V","110","","type_src"
"YY UMi","15h 32m 2.5s","+71d 27m 14.8s","RRAB","13.5 V","12.9 V","0.56962","","type_rr"
"YZ Cas","00h 45m 39.1s","+74d 59m 17.1s","EA/DM","6.1 V","5.6 V","4.467222","","type_ea"
"YZ Per","02h 38m 25.4s","+57d 02m 46.2s","SRC","8.7 V","7.7 V","378","","type_src"
"Z Lac","22h 40m 52.1s","+56d 49m 46.1s","DCEP","8.9 V","7.9 V","10.8859","","type_cep"
"ZALD 29","15h 01m 57.0s","+75d 24m 16.0s","SR","10.8 V","10.2 V","50.8","","type_m"
"zet And","00h 47m 20.3s","+24d 16m 1.8s","ELL/RS","4.1 V","3.9 V","17.769586","","type_ea"
"zet Cep","22h 10m 51.3s","+58d 12m 4.5s","LC","3.4 V","3.3 V","","yes","type_lc"
"zet Dra","17h 08m 47.2s","+65d 42m 52.7s","ACV:","3.2 V","3.2 V","2.8069","yes","mid_period"
"zet UMi","15h 44m 3.5s","+77d 47m 40.2s","EA+GDOR","4.3 V","4.3 V","231.2642","yes","long_period"
# as_of=2026-09-05T16:52:55.828Z
# stats=vsx:1052122 candidates:510181 observable:411242 selected:514
