"Star Name","RA (J2000.0)","Dec (J2000.0)","Var. Type","Min Mag","Max Mag","Period (d)","High Priority","Categories"
"Gaia DR3 1727129705478571008","12h 00m 10.4s","+86d 59m 39.9s","ACV|ROAM|ROAP|SXARI","8.1 V","8.1 V","","","type_cv"
"Gaia DR3 1727424889991259648","14h 41m 57.7s","+85d 17m 42.1s","ACV|ROAM|ROAP|SXARI","8.8 V","8.7 V","","","type_cv"
"Gaia DR3 2161056573585403648","18h 05m 38.2s","+64d 01m 52.0s","ACV|ROAM|ROAP|SXARI","8.9 V","8.9 V","","","type_cv"
"Gaia DR3 2192902278618908288","21h 20m 50.7s","+61d 37m 31.2s","SR|M","8.2 V","8.1 V","39.75","","type_m"
"Gaia DR3 2236483998966267264","20h 06m 38.8s","+59d 20m 59.8s","SR|M","8.8 V","8.6 V","44.93","","type_m"
"Gaia DR3 2240249860649443968","19h 26m 55.0s","+62d 25m 34.5s","SR|M","8.5 V","8.0 V","471.3","","long_period"
"Gaia DR3 2240520581028256384","19h 21m 55.0s","+63d 06m 5.5s","ACV|ROAM|ROAP|SXARI","8.6 V","8.5 V","","","type_cv"
"Gaia DR3 2248891884605910144","19h 43m 19.7s","+67d 10m 6.7s","SR|M","8.6 V","8.3 V","46.84","","type_m"
"Gaia DR3 2252937984316359936","18h 56m 52.6s","+62d 19m 49.0s","SR|M","8.7 V","8.3 V","399.2","","long_period"
"Gaia DR3 2259773682465001728","18h 13m 35.7s","+68d 38m 20.3s","ACV|ROAM|ROAP|SXARI","8.7 V","8.7 V","","","type_cv"
"Gaia DR3 2261921887668444416","19h 22m 1.6s","+70d 36m 49.6s","ACV|ROAM|ROAP|SXARI","8.7 V","8.2 V","","","type_cv"
"Gaia DR3 2265646964343386624","18h 36m 40.7s","+70d 52m 59.8s","SR|M","8.5 V","8.3 V","42.75","","type_m"
"Gaia DR3 2269511060520205312","18h 27m 21.2s","+77d 08m 4.5s","ACV|ROAM|ROAP|SXARI","8.1 V","8.1 V","","","type_cv"
"Gaia DR3 429341153012514176","00h 01m 38.6s","+60d 26m 59.7s","BCEP","8.4 V","8.4 V","","","type_cep"
"Gaia DR3 455547222379746176","02h 23m 11.7s","+54d 00m 19.7s","SR|M","8.9 V","8.7 V","147.8","","type_m"
"Gaia DR3 469648081051557376","04h 00m 23.3s","+56d 54m 5.8s","BCEP","9.1 V","9.1 V","0.1358627","","type_cep"
"Gaia DR3 496536706623585280","04h 26m 17.5s","+68d 19m 14.1s","SR|M","8.6 V","8.4 V","37.51","","type_m"
"Gaia DR3 554974581408314112","04h 22m 7.0s","+79d 00m 2.7s","ACV|ROAM|ROAP|SXARI","8.2 V","8.1 V","","","type_cv"
"Gaia DR3 571291952439509504","04h 03m 11.9s","+84d 39m 53.7s","ACV|ROAM|ROAP|SXARI","8.7 V","8.6 V","","","type_cv"
"Galati V24","05h 22m 33.5s","+79d 13m 52.1s","DSCT","5.1 V","5.1 V","0.047038","","short_period"
"gam Cam","03h 50m 21.5s","+71d 19m 56.2s","ELL:+EW:","4.6 V","4.6 V","2.7388","","type_ea"
"gam Cas","00h 56m 42.5s","+60d 43m 0.3s","GCAS+X+LERI:","3.0 V","1.6 V","1.21598","yes","mid_period"
"gam Cep","23h 39m 20.9s","+77d 37m 56.5s","ORG","3.2 V","3.2 V","","yes",""
"gam Peg","00h 13m 14.2s","+15d 11m 1.0s","BCEP+SPB","2.9 V","2.8 V","0.151751","","short_period"
"gam Per","03h 04m 47.8s","+53d 30m 23.2s","EA/GS","3.2 V","2.9 V","5329.1","","long_period"
"gam UMi","15h 20m 43.7s","+71d 50m 2.5s","DSCTC","3.1 V","3.0 V","0.143009","yes","short_period"
"GK Cep","21h 30m 59.2s","+70d 49m 23.6s","EB/KE","7.4 V","6.9 V","0.93616454","","type_ea"
"GK Dra","16h 45m 41.2s","+68d 15m 30.8s","EA+DSCT","9.2 V","8.8 V","9.9742","","type_ea"
"GK Per","03h 31m 12.0s","+43d 54m 15.5s","NA/DQ+UG","14.0 V","0.2 V","1.996803","","type_na"
"GN And","00h 30m 7.4s","+29d 45m 5.6s","DSCTC","5.3 V","5.2 V","0.069304115","","short_period"
"GN Dra","17h 21m 1.3s","+66d 27m 22.0s","SRB","10.1 V","9.1 V","154","","long_period"
"GO And","00h 50m 18.3s","+45d 00m 8.1s","ACV","6.2 V","6.1 V","2.5481","","type_cv"
"GP Dra","17h 23m 15.5s","+71d 52m 11.8s","LB","7.0 V","6.8 V","","","type_lc"
"GSC 03858-00620","14h 07m 35.9s","+58d 20m 45.8s","CWA","12.7 V","12.5 V","8.1392","","type_cep"
"GSC 04230-00922","19h 40m 26.0s","+61d 24m 59.9s","SR","10.3 V","10.1 V","52","","type_m"
"GSC 04352-00819","05h 51m 12.8s","+72d 43m 55.6s","SR","9.5 V","9.1 V","90","","type_m"
"GSC 04411-01340","15h 06m 35.1s","+69d 10m 7.0s","EW:","10.9 V","10.8 V","0.539","","type_ea"
"GSC 04415-01754","15h 55m 52.3s","+71d 13m 56.1s","EW","10.9 V","10.5 V","0.80868","","type_ea"
"GSC 04428-00643","17h 59m 41.1s","+68d 43m 49.3s","SR","10.1 V","9.6 V","62","","type_m"
"GSC 04437-00434","18h 08m 49.5s","+71d 34m 34.9s","L","8.0 V","7.5 V","","","type_lc"
"GSC 04634-01355","14h 51m 40.5s","+83d 56m 14.9s","RS","7.0 V","6.9 V","2.602","","mid_period"
"GU Cep","23h 10m 10.9s","+61d 14m 29.8s","SRC","10.2 V","9.6 V","","","type_src"
"GY And","01h 38m 31.8s","+45d 23m 59.0s","ACV","6.4 V","6.3 V","8000","","long_period"
"HD 112014","12h 49m 6.7s","+83d 25m 4.2s","ELL","5.8 V","5.8 V","3.2712","","mid_period"
"HD 149681","16h 25m 43.5s","+78d 57m 49.0s","DSCT","5.6 V","5.6 V","0.0505","yes","short_period"
"HD 153845","16h 52m 43.9s","+76d 51m 9.3s","PULS","7.4 V","7.3 V","0.106","","short_period"
"HD 188665","19h 53m 17.4s","+57d 31m 24.5s","VAR","5.1 V","5.1 V","0.727","yes","short_period"
"HD 19438","03h 13m 27.5s","+74d 17m 46.9s","EA","7.3 V","7.3 V","1.84652","","type_ea"
"HD 204770","21h 27m 46.2s","+66d 48m 32.9s","VAR","5.4 V","5.4 V","0.737","","short_period"
"HD 212454","22h 23m 0.2s","+57d 17m 4.6s","ACV","6.2 V","6.2 V","2.7042","","type_cv"
"HD 40055","06h 05m 9.4s","+75d 35m 9.3s","ORG|SRS","6.3 V","6.3 V","9.851","","mid_period"
"HD 45947","06h 37m 54.9s","+73d 41m 43.9s","GDOR","6.3 V","6.3 V","1.207915","","mid_period"
"HD 75544","08h 58m 22.7s","+78d 08m 44.7s","PULS","7.3 V","7.3 V","0.1092","","short_period"
"HIP 113116","22h 54m 25.0s","+84d 20m 46.3s","VAR","4.7 V","4.7 V","0.09392","","short_period"
"HIP 21247","04h 33m 30.7s","+72d 31m 43.0s","EA","5.9 V","5.9 V","4.19796","","mid_period"
"HIP 25653","05h 28m 48.0s","+78d 18m 1.4s","DSCT","6.7 V","6.7 V","0.1104","","short_period"
"HIP 30058","06h 19m 35.8s","+69d 34m 8.8s","VAR","6.8 V","6.8 V","0.12111","","short_period"
"HIP 61315","12h 33m 42.7s","+75d 12m 45.0s","VAR","7.0 V","7.0 V","467.28972","","long_period"
"HIP 7251","01h 33m 25.7s","+58d 19m 38.4s","LC:","5.7 V","5.7 V","","","type_lc"
"HIP 77211","15h 45m 53.1s","+82d 22m 12.3s","PULS","8.2 V","8.2 V","0.5707","","short_period"
"HIP 84047","17h 10m 56.8s","+66d 15m 26.3s","PULS","7.6 V","7.6 V","0.2751","","short_period"
"HIP 87385","17h 51m 24.9s","+74d 34m 8.7s","PULS","6.8 V","6.7 V","0.18954","","short_period"
"HIP 96164","19h 33m 10.1s","+60d 09m 31.3s","VAR","6.3 V","6.3 V","0.08519","","short_period"
"HL Aqr","22h 20m 26.9s","+02d 00m 53.3s","NL","14.0 V","13.1 V","0.13557","","type_na"
"HR Del","20h 42m 20.3s","+19d 09m 39.3s","NB","12.1 V","3.6 V","0.214165","","type_na"
"HS Dra","19h 12m 22.6s","+73d 53m 32.5s","LB","7.4 V","7.2 V","","","type_lc"
"HW Dra","19h 35m 24.2s","+69d 48m 19.7s","LB","7.0 V","6.8 V","","","type_lc"
"HW Peg","23h 33m 28.1s","+22d 29m 55.7s","SR","5.6 V","5.3 V","","","type_m"
"HZ Dra","19h 46m 2.5s","+69d 55m 9.0s","EA","8.3 V","8.2 V","0.772943","","type_ea"
"IM Cas","01h 32m 0.2s","+62d 19m 44.5s","SRC","8.7 V","8.0 V","323","","type_src"
"iot Cas","02h 29m 3.9s","+67d 24m 8.9s","ACV","4.5 V","4.5 V","1.7405","","mid_period"
"iot Cep","22h 49m 40.8s","+66d 12m 1.5s","ORG","3.5 V","3.5 V","","yes",""
"IPHAS J025827.88+635234.9","02h 58m 27.9s","+63d 52m 34.9s","NL+E","13.7 V","13.1 V","5.882274","","type_na"
"IR Cep","21h 57m 51.9s","+61d 01m 7.9s","DCEPS","8.0 V","7.6 V","2.114124","","type_cep"
"IRAS 19397+2234","19h 41m 53.2s","+22d 41m 36.6s","SRC","13.9 V","13.8 V","189.1031861","","type_src"
"IZ Peg","23h 28m 17.1s","+10d 54m 37.4s","M","6.4 V","1.7 V","486","","type_m"
"kap Cas","00h 32m 60.0s","+62d 55m 54.4s","ACYG","4.2 V","4.1 V","2.6469","","mid_period"
"kap Dra","12h 33m 28.9s","+69d 47m 17.6s","GCAS","4.0 V","3.8 V","","yes",""
"KELT KC01C17112","23h 24m 43.4s","+36d 21m 43.8s","EA+BCEP","7.0 V","7.0 V","2.547715","","type_cep"
"KK And","01h 34m 16.6s","+37d 14m 13.7s","ACV","5.9 V","5.9 V","0.6684","","type_cv"
"KK Per","02h 10m 15.8s","+56d 33m 32.6s","SRC","8.0 V","7.5 V","345","","type_src"
